State,Order_size
"(0, 0)",14
"(0, 1)",14
"(0, 2)",14
"(0, 3)",14
"(0, 4)",14
"(0, 5)",14
"(0, 6)",14
"(0, 7)",14
"(0, 8)",14
"(0, 9)",14
"(0, 10)",14
"(0, 11)",14
"(0, 12)",14
"(0, 13)",14
"(0, 14)",14
"(0, 15)",14
"(0, 16)",14
"(0, 17)",14
"(0, 18)",14
"(0, 19)",14
"(0, 20)",14
"(0, 21)",14
"(0, 22)",14
"(0, 23)",14
"(0, 24)",14
"(0, 25)",14
"(0, 26)",14
"(0, 27)",14
"(0, 28)",13
"(0, 29)",12
"(0, 30)",11
"(0, 31)",10
"(0, 32)",9
"(0, 33)",8
"(0, 34)",7
"(0, 35)",6
"(0, 36)",5
"(0, 37)",4
"(0, 38)",3
"(0, 39)",2
"(0, 40)",1
"(0, 41)",0
"(1, 0)",13
"(1, 1)",13
"(1, 2)",13
"(1, 3)",13
"(1, 4)",13
"(1, 5)",13
"(1, 6)",13
"(1, 7)",13
"(1, 8)",13
"(1, 9)",13
"(1, 10)",13
"(1, 11)",13
"(1, 12)",13
"(1, 13)",13
"(1, 14)",13
"(1, 15)",13
"(1, 16)",13
"(1, 17)",13
"(1, 18)",13
"(1, 19)",13
"(1, 20)",13
"(1, 21)",13
"(1, 22)",13
"(1, 23)",13
"(1, 24)",13
"(1, 25)",13
"(1, 26)",13
"(1, 27)",13
"(1, 28)",12
"(1, 29)",11
"(1, 30)",10
"(1, 31)",9
"(1, 32)",8
"(1, 33)",7
"(1, 34)",6
"(1, 35)",5
"(1, 36)",4
"(1, 37)",3
"(1, 38)",2
"(1, 39)",1
"(1, 40)",0
"(2, 0)",12
"(2, 1)",12
"(2, 2)",12
"(2, 3)",12
"(2, 4)",12
"(2, 5)",12
"(2, 6)",12
"(2, 7)",12
"(2, 8)",12
"(2, 9)",12
"(2, 10)",12
"(2, 11)",12
"(2, 12)",12
"(2, 13)",12
"(2, 14)",12
"(2, 15)",12
"(2, 16)",12
"(2, 17)",12
"(2, 18)",12
"(2, 19)",12
"(2, 20)",12
"(2, 21)",12
"(2, 22)",12
"(2, 23)",12
"(2, 24)",12
"(2, 25)",12
"(2, 26)",12
"(2, 27)",12
"(2, 28)",11
"(2, 29)",10
"(2, 30)",9
"(2, 31)",8
"(2, 32)",7
"(2, 33)",6
"(2, 34)",5
"(2, 35)",4
"(2, 36)",3
"(2, 37)",2
"(2, 38)",1
"(2, 39)",0
"(3, 0)",11
"(3, 1)",11
"(3, 2)",11
"(3, 3)",11
"(3, 4)",11
"(3, 5)",11
"(3, 6)",11
"(3, 7)",11
"(3, 8)",11
"(3, 9)",11
"(3, 10)",11
"(3, 11)",11
"(3, 12)",11
"(3, 13)",11
"(3, 14)",11
"(3, 15)",11
"(3, 16)",11
"(3, 17)",11
"(3, 18)",11
"(3, 19)",11
"(3, 20)",11
"(3, 21)",11
"(3, 22)",11
"(3, 23)",11
"(3, 24)",11
"(3, 25)",11
"(3, 26)",11
"(3, 27)",11
"(3, 28)",10
"(3, 29)",9
"(3, 30)",8
"(3, 31)",7
"(3, 32)",6
"(3, 33)",5
"(3, 34)",4
"(3, 35)",3
"(3, 36)",2
"(3, 37)",1
"(3, 38)",0
"(4, 0)",10
"(4, 1)",10
"(4, 2)",10
"(4, 3)",10
"(4, 4)",10
"(4, 5)",10
"(4, 6)",10
"(4, 7)",10
"(4, 8)",10
"(4, 9)",10
"(4, 10)",10
"(4, 11)",10
"(4, 12)",10
"(4, 13)",10
"(4, 14)",10
"(4, 15)",10
"(4, 16)",10
"(4, 17)",10
"(4, 18)",10
"(4, 19)",10
"(4, 20)",10
"(4, 21)",10
"(4, 22)",10
"(4, 23)",10
"(4, 24)",10
"(4, 25)",10
"(4, 26)",10
"(4, 27)",10
"(4, 28)",9
"(4, 29)",8
"(4, 30)",7
"(4, 31)",6
"(4, 32)",5
"(4, 33)",4
"(4, 34)",3
"(4, 35)",2
"(4, 36)",1
"(4, 37)",0
"(5, 0)",9
"(5, 1)",9
"(5, 2)",9
"(5, 3)",9
"(5, 4)",9
"(5, 5)",9
"(5, 6)",9
"(5, 7)",9
"(5, 8)",9
"(5, 9)",9
"(5, 10)",9
"(5, 11)",9
"(5, 12)",9
"(5, 13)",9
"(5, 14)",9
"(5, 15)",9
"(5, 16)",9
"(5, 17)",9
"(5, 18)",9
"(5, 19)",9
"(5, 20)",9
"(5, 21)",9
"(5, 22)",9
"(5, 23)",9
"(5, 24)",9
"(5, 25)",9
"(5, 26)",9
"(5, 27)",9
"(5, 28)",8
"(5, 29)",7
"(5, 30)",6
"(5, 31)",5
"(5, 32)",4
"(5, 33)",3
"(5, 34)",2
"(5, 35)",1
"(5, 36)",0
"(6, 0)",8
"(6, 1)",8
"(6, 2)",8
"(6, 3)",8
"(6, 4)",8
"(6, 5)",8
"(6, 6)",8
"(6, 7)",8
"(6, 8)",8
"(6, 9)",8
"(6, 10)",8
"(6, 11)",8
"(6, 12)",8
"(6, 13)",8
"(6, 14)",8
"(6, 15)",8
"(6, 16)",8
"(6, 17)",8
"(6, 18)",8
"(6, 19)",8
"(6, 20)",8
"(6, 21)",8
"(6, 22)",8
"(6, 23)",8
"(6, 24)",8
"(6, 25)",8
"(6, 26)",8
"(6, 27)",8
"(6, 28)",7
"(6, 29)",6
"(6, 30)",5
"(6, 31)",4
"(6, 32)",3
"(6, 33)",2
"(6, 34)",1
"(6, 35)",0
"(7, 0)",7
"(7, 1)",7
"(7, 2)",7
"(7, 3)",7
"(7, 4)",7
"(7, 5)",7
"(7, 6)",7
"(7, 7)",7
"(7, 8)",7
"(7, 9)",7
"(7, 10)",7
"(7, 11)",7
"(7, 12)",7
"(7, 13)",7
"(7, 14)",7
"(7, 15)",7
"(7, 16)",7
"(7, 17)",7
"(7, 18)",7
"(7, 19)",7
"(7, 20)",7
"(7, 21)",7
"(7, 22)",7
"(7, 23)",7
"(7, 24)",7
"(7, 25)",7
"(7, 26)",7
"(7, 27)",7
"(7, 28)",6
"(7, 29)",5
"(7, 30)",4
