State,Order_size
"(0, 0)",21
"(0, 1)",20
"(0, 2)",19
"(0, 3)",18
"(0, 4)",17
"(0, 5)",16
"(0, 6)",15
"(0, 7)",14
"(0, 8)",13
"(0, 9)",12
"(0, 10)",0
"(0, 11)",0
"(0, 12)",0
"(0, 13)",0
"(0, 14)",0
"(0, 15)",0
"(0, 16)",0
"(0, 17)",0
"(0, 18)",0
"(0, 19)",0
"(0, 20)",0
"(0, 21)",0
"(1, 0)",20
"(1, 1)",19
"(1, 2)",18
"(1, 3)",17
"(1, 4)",16
"(1, 5)",15
"(1, 6)",14
"(1, 7)",13
"(1, 8)",12
"(1, 9)",0
"(1, 10)",0
"(1, 11)",0
"(1, 12)",0
"(1, 13)",0
"(1, 14)",0
"(1, 15)",0
"(1, 16)",0
"(1, 17)",0
"(1, 18)",0
"(1, 19)",0
"(1, 20)",0
"(2, 0)",19
"(2, 1)",18
"(2, 2)",17
"(2, 3)",16
"(2, 4)",15
"(2, 5)",14
"(2, 6)",13
"(2, 7)",12
"(2, 8)",11
"(2, 9)",0
"(2, 10)",0
"(2, 11)",0
"(2, 12)",0
"(2, 13)",0
"(2, 14)",0
"(2, 15)",0
"(2, 16)",0
"(2, 17)",0
"(2, 18)",0
"(2, 19)",0
"(3, 0)",18
"(3, 1)",17
"(3, 2)",16
"(3, 3)",15
"(3, 4)",14
"(3, 5)",13
"(3, 6)",12
"(3, 7)",11
"(3, 8)",0
"(3, 9)",0
"(3, 10)",0
"(3, 11)",0
"(3, 12)",0
"(3, 13)",0
"(3, 14)",0
"(3, 15)",0
"(3, 16)",0
"(3, 17)",0
"(3, 18)",0
"(4, 0)",17
"(4, 1)",16
"(4, 2)",15
"(4, 3)",14
"(4, 4)",13
"(4, 5)",12
"(4, 6)",11
"(4, 7)",0
"(4, 8)",0
"(4, 9)",0
"(4, 10)",0
"(4, 11)",0
"(4, 12)",0
"(4, 13)",0
"(4, 14)",0
"(4, 15)",0
"(4, 16)",0
"(4, 17)",0
"(5, 0)",16
"(5, 1)",15
"(5, 2)",14
"(5, 3)",13
"(5, 4)",12
"(5, 5)",11
"(5, 6)",0
"(5, 7)",0
"(5, 8)",0
"(5, 9)",0
"(5, 10)",0
"(5, 11)",0
"(5, 12)",0
"(5, 13)",0
"(5, 14)",0
"(5, 15)",0
"(5, 16)",0
"(6, 0)",15
"(6, 1)",14
"(6, 2)",13
"(6, 3)",12
"(6, 4)",11
"(6, 5)",10
"(6, 6)",0
"(6, 7)",0
"(6, 8)",0
"(6, 9)",0
"(6, 10)",0
"(6, 11)",0
"(6, 12)",0
"(6, 13)",0
"(6, 14)",0
"(6, 15)",0
"(7, 0)",14
"(7, 1)",13
"(7, 2)",12
"(7, 3)",11
"(7, 4)",10
"(7, 5)",0
"(7, 6)",0
"(7, 7)",0
"(7, 8)",0
"(7, 9)",0
"(7, 10)",0
"(7, 11)",0
"(7, 12)",0
"(7, 13)",0
"(7, 14)",0
"(8, 0)",13
"(8, 1)",12
"(8, 2)",11
"(8, 3)",10
"(8, 4)",0
"(8, 5)",0
"(8, 6)",0
"(8, 7)",0
"(8, 8)",0
"(8, 9)",0
"(8, 10)",0
"(8, 11)",0
"(8, 12)",0
"(8, 13)",0
"(9, 0)",12
"(9, 1)",11
"(9, 2)",10
"(9, 3)",0
"(9, 4)",0
"(9, 5)",0
"(9, 6)",0
"(9, 7)",0
"(9, 8)",0
"(9, 9)",0
"(9, 10)",0
"(9, 11)",0
"(9, 12)",0
"(10, 0)",11
"(10, 1)",10
"(10, 2)",0
"(10, 3)",0
"(10, 4)",0
"(10, 5)",0
"(10, 6)",0
"(10, 7)",0
"(10, 8)",0
"(10, 9)",0
"(10, 10)",0
"(10, 11)",0
"(11, 0)",10
"(11, 1)",0
"(11, 2)",0
"(11, 3)",0
"(11, 4)",0
"(11, 5)",0
"(11, 6)",0
"(11, 7)",0
"(11, 8)",0
"(11, 9)",0
"(11, 10)",0
"(12, 0)",0
"(12, 1)",0
"(12, 2)",0
"(12, 3)",0
"(12, 4)",0
"(12, 5)",0
"(12, 6)",0
"(12, 7)",0
"(12, 8)",0
"(12, 9)",0
"(13, 0)",0
"(13, 1)",0
"(13, 2)",0
"(13, 3)",0
"(13, 4)",0
"(13, 5)",0
"(13, 6)",0
"(13, 7)",0
"(13, 8)",0
"(14, 0)",0
"(14, 1)",0
"(14, 2)",0
"(14, 3)",0
"(14, 4)",0
"(14, 5)",0
"(14, 6)",0
"(14, 7)",0
"(15, 0)",0
"(15, 1)",0
"(15, 2)",0
"(15, 3)",0
"(15, 4)",0
"(15, 5)",0
"(15, 6)",0
"(16, 0)",0
"(16, 1)",0
"(16, 2)",0
"(16, 3)",0
"(16, 4)",0
"(16, 5)",0
"(17, 0)",0
"(17, 1)",0
"(17, 2)",0
"(17, 3)",0
"(17, 4)",0
"(18, 0)",0
"(18, 1)",0
"(18, 2)",0
"(18, 3)",0
"(19, 0)",0
"(19, 1)",0
"(19, 2)",0
"(20, 0)",0
"(20, 1)",0
"(21, 0)",0
