State,Order_size,IP,New_IP
"(0, 0)",35,0,35
"(0, 1)",34,1,35
"(0, 2)",33,2,35
"(0, 3)",32,3,35
"(0, 4)",31,4,35
"(0, 5)",30,5,35
"(0, 6)",29,6,35
"(0, 7)",28,7,35
"(0, 8)",27,8,35
"(0, 9)",26,9,35
"(0, 10)",0,10,10
"(0, 11)",0,11,11
"(0, 12)",0,12,12
"(0, 13)",0,13,13
"(0, 14)",0,14,14
"(0, 15)",0,15,15
"(0, 16)",0,16,16
"(0, 17)",0,17,17
"(0, 18)",0,18,18
"(0, 19)",0,19,19
"(0, 20)",0,20,20
"(0, 21)",0,21,21
"(0, 22)",0,22,22
"(0, 23)",0,23,23
"(0, 24)",0,24,24
"(0, 25)",0,25,25
"(0, 26)",0,26,26
"(0, 27)",0,27,27
"(0, 28)",0,28,28
"(0, 29)",0,29,29
"(0, 30)",0,30,30
"(0, 31)",0,31,31
"(0, 32)",0,32,32
"(0, 33)",0,33,33
"(0, 34)",0,34,34
"(0, 35)",0,35,35
"(0, 36)",0,36,36
"(0, 37)",0,37,37
"(0, 38)",0,38,38
"(0, 39)",0,39,39
"(0, 40)",0,40,40
"(0, 41)",0,41,41
"(1, 0)",35,1,36
"(1, 1)",34,2,36
"(1, 2)",33,3,36
"(1, 3)",32,4,36
"(1, 4)",31,5,36
"(1, 5)",30,6,36
"(1, 6)",29,7,36
"(1, 7)",28,8,36
"(1, 8)",27,9,36
"(1, 9)",26,10,36
"(1, 10)",0,11,11
"(1, 11)",0,12,12
"(1, 12)",0,13,13
"(1, 13)",0,14,14
"(1, 14)",0,15,15
"(1, 15)",0,16,16
"(1, 16)",0,17,17
"(1, 17)",0,18,18
"(1, 18)",0,19,19
"(1, 19)",0,20,20
"(1, 20)",0,21,21
"(1, 21)",0,22,22
"(1, 22)",0,23,23
"(1, 23)",0,24,24
"(1, 24)",0,25,25
"(1, 25)",0,26,26
"(1, 26)",0,27,27
"(1, 27)",0,28,28
"(1, 28)",0,29,29
"(1, 29)",0,30,30
"(1, 30)",0,31,31
"(1, 31)",0,32,32
"(1, 32)",0,33,33
"(1, 33)",0,34,34
"(1, 34)",0,35,35
"(1, 35)",0,36,36
"(1, 36)",0,37,37
"(1, 37)",0,38,38
"(1, 38)",0,39,39
"(1, 39)",0,40,40
"(1, 40)",0,41,41
"(2, 0)",34,2,36
"(2, 1)",33,3,36
"(2, 2)",32,4,36
"(2, 3)",31,5,36
"(2, 4)",30,6,36
"(2, 5)",29,7,36
"(2, 6)",28,8,36
"(2, 7)",27,9,36
"(2, 8)",26,10,36
"(2, 9)",25,11,36
"(2, 10)",0,12,12
"(2, 11)",0,13,13
"(2, 12)",0,14,14
"(2, 13)",0,15,15
"(2, 14)",0,16,16
"(2, 15)",0,17,17
"(2, 16)",0,18,18
"(2, 17)",0,19,19
"(2, 18)",0,20,20
"(2, 19)",0,21,21
"(2, 20)",0,22,22
"(2, 21)",0,23,23
"(2, 22)",0,24,24
"(2, 23)",0,25,25
"(2, 24)",0,26,26
"(2, 25)",0,27,27
"(2, 26)",0,28,28
"(2, 27)",0,29,29
"(2, 28)",0,30,30
"(2, 29)",0,31,31
"(2, 30)",0,32,32
"(2, 31)",0,33,33
"(2, 32)",0,34,34
"(2, 33)",0,35,35
"(2, 34)",0,36,36
"(2, 35)",0,37,37
"(2, 36)",0,38,38
"(2, 37)",0,39,39
"(2, 38)",0,40,40
"(2, 39)",0,41,41
"(3, 0)",34,3,37
"(3, 1)",33,4,37
"(3, 2)",32,5,37
"(3, 3)",31,6,37
"(3, 4)",30,7,37
"(3, 5)",29,8,37
"(3, 6)",28,9,37
"(3, 7)",27,10,37
"(3, 8)",26,11,37
"(3, 9)",0,12,12
"(3, 10)",0,13,13
"(3, 11)",0,14,14
"(3, 12)",0,15,15
"(3, 13)",0,16,16
"(3, 14)",0,17,17
"(3, 15)",0,18,18
"(3, 16)",0,19,19
"(3, 17)",0,20,20
"(3, 18)",0,21,21
"(3, 19)",0,22,22
"(3, 20)",0,23,23
"(3, 21)",0,24,24
"(3, 22)",0,25,25
"(3, 23)",0,26,26
"(3, 24)",0,27,27
"(3, 25)",0,28,28
"(3, 26)",0,29,29
"(3, 27)",0,30,30
"(3, 28)",0,31,31
"(3, 29)",0,32,32
"(3, 30)",0,33,33
"(3, 31)",0,34,34
"(3, 32)",0,35,35
"(3, 33)",0,36,36
"(3, 34)",0,37,37
"(3, 35)",0,38,38
"(3, 36)",0,39,39
"(3, 37)",0,40,40
"(3, 38)",0,41,41
"(4, 0)",33,4,37
"(4, 1)",32,5,37
"(4, 2)",31,6,37
"(4, 3)",30,7,37
"(4, 4)",29,8,37
"(4, 5)",28,9,37
"(4, 6)",27,10,37
"(4, 7)",26,11,37
"(4, 8)",25,12,37
"(4, 9)",0,13,13
"(4, 10)",0,14,14
"(4, 11)",0,15,15
"(4, 12)",0,16,16
"(4, 13)",0,17,17
"(4, 14)",0,18,18
"(4, 15)",0,19,19
"(4, 16)",0,20,20
"(4, 17)",0,21,21
"(4, 18)",0,22,22
"(4, 19)",0,23,23
"(4, 20)",0,24,24
"(4, 21)",0,25,25
"(4, 22)",0,26,26
"(4, 23)",0,27,27
"(4, 24)",0,28,28
"(4, 25)",0,29,29
"(4, 26)",0,30,30
"(4, 27)",0,31,31
"(4, 28)",0,32,32
"(4, 29)",0,33,33
"(4, 30)",0,34,34
"(4, 31)",0,35,35
"(4, 32)",0,36,36
"(4, 33)",0,37,37
"(4, 34)",0,38,38
"(4, 35)",0,39,39
"(4, 36)",0,40,40
"(4, 37)",0,41,41
"(5, 0)",32,5,37
"(5, 1)",31,6,37
"(5, 2)",30,7,37
"(5, 3)",29,8,37
"(5, 4)",28,9,37
"(5, 5)",27,10,37
"(5, 6)",26,11,37
"(5, 7)",25,12,37
"(5, 8)",0,13,13
"(5, 9)",0,14,14
"(5, 10)",0,15,15
"(5, 11)",0,16,16
"(5, 12)",0,17,17
"(5, 13)",0,18,18
"(5, 14)",0,19,19
"(5, 15)",0,20,20
"(5, 16)",0,21,21
"(5, 17)",0,22,22
"(5, 18)",0,23,23
"(5, 19)",0,24,24
"(5, 20)",0,25,25
"(5, 21)",0,26,26
"(5, 22)",0,27,27
"(5, 23)",0,28,28
"(5, 24)",0,29,29
"(5, 25)",0,30,30
"(5, 26)",0,31,31
"(5, 27)",0,32,32
"(5, 28)",0,33,33
"(5, 29)",0,34,34
"(5, 30)",0,35,35
"(5, 31)",0,36,36
"(5, 32)",0,37,37
"(5, 33)",0,38,38
"(5, 34)",0,39,39
"(5, 35)",0,40,40
"(5, 36)",0,41,41
"(6, 0)",31,6,37
"(6, 1)",30,7,37
"(6, 2)",29,8,37
"(6, 3)",28,9,37
"(6, 4)",27,10,37
"(6, 5)",26,11,37
"(6, 6)",25,12,37
"(6, 7)",0,13,13
"(6, 8)",0,14,14
"(6, 9)",0,15,15
"(6, 10)",0,16,16
"(6, 11)",0,17,17
"(6, 12)",0,18,18
"(6, 13)",0,19,19
"(6, 14)",0,20,20
"(6, 15)",0,21,21
"(6, 16)",0,22,22
"(6, 17)",0,23,23
"(6, 18)",0,24,24
"(6, 19)",0,25,25
"(6, 20)",0,26,26
"(6, 21)",0,27,27
"(6, 22)",0,28,28
"(6, 23)",0,29,29
"(6, 24)",0,30,30
"(6, 25)",0,31,31
"(6, 26)",0,32,32
"(6, 27)",0,33,33
"(6, 28)",0,34,34
"(6, 29)",0,35,35
"(6, 30)",0,36,36
"(6, 31)",0,37,37
"(6, 32)",0,38,38
"(6, 33)",0,39,39
"(6, 34)",0,40,40
"(6, 35)",0,41,41
"(7, 0)",30,7,37
"(7, 1)",29,8,37
"(7, 2)",28,9,37
"(7, 3)",27,10,37
"(7, 4)",26,11,37
"(7, 5)",25,12,37
"(7, 6)",0,13,13
"(7, 7)",0,14,14
"(7, 8)",0,15,15
"(7, 9)",0,16,16
"(7, 10)",0,17,17
"(7, 11)",0,18,18
"(7, 12)",0,19,19
"(7, 13)",0,20,20
"(7, 14)",0,21,21
"(7, 15)",0,22,22
"(7, 16)",0,23,23
"(7, 17)",0,24,24
"(7, 18)",0,25,25
"(7, 19)",0,26,26
"(7, 20)",0,27,27
"(7, 21)",0,28,28
"(7, 22)",0,29,29
"(7, 23)",0,30,30
"(7, 24)",0,31,31
"(7, 25)",0,32,32
"(7, 26)",0,33,33
"(7, 27)",0,34,34
"(7, 28)",0,35,35
"(7, 29)",0,36,36
"(7, 30)",0,37,37
"(7, 31)",0,38,38
"(7, 32)",0,39,39
"(7, 33)",0,40,40
"(7, 34)",0,41,41
"(8, 0)",29,8,37
"(8, 1)",28,9,37
"(8, 2)",27,10,37
"(8, 3)",26,11,37
"(8, 4)",25,12,37
"(8, 5)",0,13,13
"(8, 6)",0,14,14
"(8, 7)",0,15,15
"(8, 8)",0,16,16
"(8, 9)",0,17,17
"(8, 10)",0,18,18
"(8, 11)",0,19,19
"(8, 12)",0,20,20
"(8, 13)",0,21,21
"(8, 14)",0,22,22
"(8, 15)",0,23,23
"(8, 16)",0,24,24
"(8, 17)",0,25,25
"(8, 18)",0,26,26
"(8, 19)",0,27,27
"(8, 20)",0,28,28
"(8, 21)",0,29,29
"(8, 22)",0,30,30
"(8, 23)",0,31,31
"(8, 24)",0,32,32
"(8, 25)",0,33,33
"(8, 26)",0,34,34
"(8, 27)",0,35,35
"(8, 28)",0,36,36
"(8, 29)",0,37,37
"(8, 30)",0,38,38
"(8, 31)",0,39,39
"(8, 32)",0,40,40
"(8, 33)",0,41,41
"(9, 0)",28,9,37
"(9, 1)",27,10,37
"(9, 2)",26,11,37
"(9, 3)",25,12,37
"(9, 4)",0,13,13
"(9, 5)",0,14,14
"(9, 6)",0,15,15
"(9, 7)",0,16,16
"(9, 8)",0,17,17
"(9, 9)",0,18,18
"(9, 10)",0,19,19
"(9, 11)",0,20,20
"(9, 12)",0,21,21
"(9, 13)",0,22,22
"(9, 14)",0,23,23
"(9, 15)",0,24,24
"(9, 16)",0,25,25
"(9, 17)",0,26,26
"(9, 18)",0,27,27
"(9, 19)",0,28,28
"(9, 20)",0,29,29
"(9, 21)",0,30,30
"(9, 22)",0,31,31
"(9, 23)",0,32,32
"(9, 24)",0,33,33
"(9, 25)",0,34,34
"(9, 26)",0,35,35
"(9, 27)",0,36,36
"(9, 28)",0,37,37
"(9, 29)",0,38,38
"(9, 30)",0,39,39
"(9, 31)",0,40,40
"(9, 32)",0,41,41
"(10, 0)",27,10,37
"(10, 1)",26,11,37
"(10, 2)",25,12,37
"(10, 3)",0,13,13
"(10, 4)",0,14,14
"(10, 5)",0,15,15
"(10, 6)",0,16,16
"(10, 7)",0,17,17
"(10, 8)",0,18,18
"(10, 9)",0,19,19
"(10, 10)",0,20,20
"(10, 11)",0,21,21
"(10, 12)",0,22,22
"(10, 13)",0,23,23
"(10, 14)",0,24,24
"(10, 15)",0,25,25
"(10, 16)",0,26,26
"(10, 17)",0,27,27
"(10, 18)",0,28,28
"(10, 19)",0,29,29
"(10, 20)",0,30,30
"(10, 21)",0,31,31
"(10, 22)",0,32,32
"(10, 23)",0,33,33
"(10, 24)",0,34,34
"(10, 25)",0,35,35
"(10, 26)",0,36,36
"(10, 27)",0,37,37
"(10, 28)",0,38,38
"(10, 29)",0,39,39
"(10, 30)",0,40,40
"(10, 31)",0,41,41
"(11, 0)",26,11,37
"(11, 1)",25,12,37
"(11, 2)",0,13,13
"(11, 3)",0,14,14
"(11, 4)",0,15,15
"(11, 5)",0,16,16
"(11, 6)",0,17,17
"(11, 7)",0,18,18
"(11, 8)",0,19,19
"(11, 9)",0,20,20
"(11, 10)",0,21,21
"(11, 11)",0,22,22
"(11, 12)",0,23,23
"(11, 13)",0,24,24
"(11, 14)",0,25,25
"(11, 15)",0,26,26
"(11, 16)",0,27,27
"(11, 17)",0,28,28
"(11, 18)",0,29,29
"(11, 19)",0,30,30
"(11, 20)",0,31,31
"(11, 21)",0,32,32
"(11, 22)",0,33,33
"(11, 23)",0,34,34
"(11, 24)",0,35,35
"(11, 25)",0,36,36
"(11, 26)",0,37,37
"(11, 27)",0,38,38
"(11, 28)",0,39,39
"(11, 29)",0,40,40
"(11, 30)",0,41,41
"(12, 0)",25,12,37
"(12, 1)",0,13,13
"(12, 2)",0,14,14
"(12, 3)",0,15,15
"(12, 4)",0,16,16
"(12, 5)",0,17,17
"(12, 6)",0,18,18
"(12, 7)",0,19,19
"(12, 8)",0,20,20
"(12, 9)",0,21,21
"(12, 10)",0,22,22
"(12, 11)",0,23,23
"(12, 12)",0,24,24
"(12, 13)",0,25,25
"(12, 14)",0,26,26
"(12, 15)",0,27,27
"(12, 16)",0,28,28
"(12, 17)",0,29,29
"(12, 18)",0,30,30
"(12, 19)",0,31,31
"(12, 20)",0,32,32
"(12, 21)",0,33,33
"(12, 22)",0,34,34
"(12, 23)",0,35,35
"(12, 24)",0,36,36
"(12, 25)",0,37,37
"(12, 26)",0,38,38
"(12, 27)",0,39,39
"(12, 28)",0,40,40
"(12, 29)",0,41,41
"(13, 0)",0,13,13
"(13, 1)",0,14,14
"(13, 2)",0,15,15
"(13, 3)",0,16,16
"(13, 4)",0,17,17
"(13, 5)",0,18,18
"(13, 6)",0,19,19
"(13, 7)",0,20,20
"(13, 8)",0,21,21
"(13, 9)",0,22,22
"(13, 10)",0,23,23
"(13, 11)",0,24,24
"(13, 12)",0,25,25
"(13, 13)",0,26,26
"(13, 14)",0,27,27
"(13, 15)",0,28,28
"(13, 16)",0,29,29
"(13, 17)",0,30,30
"(13, 18)",0,31,31
"(13, 19)",0,32,32
"(13, 20)",0,33,33
"(13, 21)",0,34,34
"(13, 22)",0,35,35
"(13, 23)",0,36,36
"(13, 24)",0,37,37
"(13, 25)",0,38,38
"(13, 26)",0,39,39
"(13, 27)",0,40,40
"(13, 28)",0,41,41
"(14, 0)",0,14,14
"(14, 1)",0,15,15
"(14, 2)",0,16,16
"(14, 3)",0,17,17
"(14, 4)",0,18,18
"(14, 5)",0,19,19
"(14, 6)",0,20,20
"(14, 7)",0,21,21
"(14, 8)",0,22,22
"(14, 9)",0,23,23
"(14, 10)",0,24,24
"(14, 11)",0,25,25
"(14, 12)",0,26,26
"(14, 13)",0,27,27
"(14, 14)",0,28,28
"(14, 15)",0,29,29
"(14, 16)",0,30,30
"(14, 17)",0,31,31
"(14, 18)",0,32,32
"(14, 19)",0,33,33
"(14, 20)",0,34,34
"(14, 21)",0,35,35
"(14, 22)",0,36,36
"(14, 23)",0,37,37
"(14, 24)",0,38,38
"(14, 25)",0,39,39
"(14, 26)",0,40,40
"(14, 27)",0,41,41
"(15, 0)",0,15,15
"(15, 1)",0,16,16
"(15, 2)",0,17,17
"(15, 3)",0,18,18
"(15, 4)",0,19,19
"(15, 5)",0,20,20
"(15, 6)",0,21,21
"(15, 7)",0,22,22
"(15, 8)",0,23,23
"(15, 9)",0,24,24
"(15, 10)",0,25,25
"(15, 11)",0,26,26
"(15, 12)",0,27,27
"(15, 13)",0,28,28
"(15, 14)",0,29,29
"(15, 15)",0,30,30
"(15, 16)",0,31,31
"(15, 17)",0,32,32
"(15, 18)",0,33,33
"(15, 19)",0,34,34
"(15, 20)",0,35,35
"(15, 21)",0,36,36
"(15, 22)",0,37,37
"(15, 23)",0,38,38
"(15, 24)",0,39,39
"(15, 25)",0,40,40
"(15, 26)",0,41,41
"(16, 0)",0,16,16
"(16, 1)",0,17,17
"(16, 2)",0,18,18
"(16, 3)",0,19,19
"(16, 4)",0,20,20
"(16, 5)",0,21,21
"(16, 6)",0,22,22
"(16, 7)",0,23,23
"(16, 8)",0,24,24
"(16, 9)",0,25,25
"(16, 10)",0,26,26
"(16, 11)",0,27,27
"(16, 12)",0,28,28
"(16, 13)",0,29,29
"(16, 14)",0,30,30
"(16, 15)",0,31,31
"(16, 16)",0,32,32
"(16, 17)",0,33,33
"(16, 18)",0,34,34
"(16, 19)",0,35,35
"(16, 20)",0,36,36
"(16, 21)",0,37,37
"(16, 22)",0,38,38
"(16, 23)",0,39,39
